country_name,country,mcv1_VS_nomcv,mcv1-sia_VS_mcv1,mcv1-mcv2_VS_mcv1,mcv1-mcv2-sia_VS_mcv1-sia,mcv1-mcv2-sia_VS_mcv1-mcv2
India,IND,1.34683727223193,10.2030571359092,5.40550768176193,11.568685771435,16.1274931355686
Indonesia,IDN,1.27431949656689,7.54053675296414,4.72686590542624,7.75214322766274,9.99503015658517
China,CHN,1.34487752146034,8.22758531034018,4.58757883961005,7.5736922798187,35.7319209454268
Philippines,PHL,1.33220870377927,5.57433133163503,4.38837472920968,10.9209767965514,6.65259935037782
Pakistan,PAK,1.43606273200376,6.95438028197327,4.80153241146104,57.5241078016134,9.12444350846799
Angola,AGO,1.44701137537533,4.47509500162684,5.32435404122618,27.1385211332407,4.66079949500426
Ukraine,UKR,1.26259788307425,12.5148104743254,6.10456895964667,6.1683014972517,14.7204756541715
Malawi,MWI,1.36494783992716,7.72214815471834,6.59180955645784,132.461580660202,8.55117550147878
Nigeria,NGA,1.46464075688258,4.53138395356288,5.77981397782954,918368.11739207,4.55267079945882
Ethiopia,ETH,1.42384480079235,5.21369812936075,6.11631631496363,17.0308022437708,5.27315887721007
Madagascar,MDG,1.40026803324574,3.6682858551274,8.16078001085911,17.8375342714363,3.678023124172
Uganda,UGA,1.41317332924269,6.21825037296621,,,6.21825037296621
DRC,COD,1.44457012628356,5.608943921275,,,5.608943921275
Somalia,SOM,1.4517759871653,5.82635816978224,,,5.82635816978224
Median,Median,1.40672068124421,6.02230427137423,5.40550768176193,17.0308022437708,6.43542486167202
