country_name,mcv1-mcv2-sia_VS_nomcv,mcv1_VS_nomcv,mcv1-sia_VS_mcv1,mcv1-mcv2_VS_mcv1,mcv1-mcv2-sia_VS_mcv1
India,2391.92886243171,2223.28546182033,125.485027041902,84.0565247024021,168.643400611379
Indonesia,373.370022676889,308.189605034158,48.0518246409066,30.3452972865151,65.1804176427306
China,1544.49537323119,1376.55307103459,90.7953631348058,149.362587085342,167.942302196597
Philippines,198.81179939548,160.48934716668,35.1026069132138,9.81540758130421,38.3224522287995
Pakistan,1367.99169943923,988.508693922422,364.590894980089,94.3630982024865,379.483005516812
Angola,531.118829629712,262.384687466005,266.396145790408,9.93343535559199,268.734142163707
Ukraine,55.941357578497,49.9346834576634,0.184759196705903,5.84314780477837,6.00667412083355
Malawi,336.797228868803,264.053246397734,72.4981931209618,5.69366992360483,72.7439824710689
Nigeria,2918.05806661676,1475.1594831999,1442.89855335468,5.18884267908707,1442.89858341686
Ethiopia,1712.09859217388,858.11260547943,851.574777872118,9.45415573147079,853.985986694453
Madagascar,192.446020936886,135.476106814161,56.8742472267175,0.21350542219136,56.9699141227249
Uganda,797.943276816744,545.961716758311,251.981560058433,0,251.981560058433
DRC,1351.8920372641,840.517971502351,511.374065761746,0,511.374065761746
Somalia,228.878873973502,109.687345106552,119.191528866951,0,119.191528866951
Global,14001.7720410334,9598.31402516029,4236.99954795964,404.269671774775,4403.4580158731
