country_name,country,mcv1_VS_nomcv_case,mcv1_VS_nomcv_death,mcv1-mcv2_VS_mcv1_case,mcv1-mcv2_VS_mcv1_death,mcv1-sia_VS_mcv1_case,mcv1-sia_VS_mcv1_death,mcv1-mcv2-sia_VS_mcv1-sia_case,mcv1-mcv2-sia_VS_mcv1-sia_death,mcv1-mcv2-sia_VS_mcv1-mcv2_case,mcv1-mcv2-sia_VS_mcv1-mcv2_death
India,IND,295562.768987379,2223.28546182033,28181.8450816492,84.0565247024016,39541.3856287259,121.895719259958,14774.5964476097,47.9756164916158,26134.1369946864,85.8148110491724
Nigeria,NGA,39342.8773200661,1475.1594831999,250.929341602206,5.18884267908707,48900.4912162895,1337.24401795526,0.00150977793335915,2.98379648011178e-05,48649.5633844652,1332.05520511413
Indonesia,IDN,61349.8749576941,308.189605034158,9902.04586942041,30.345297286515,17250.5764138294,49.9717343440033,4122.66015395059,13.6487110072547,11471.1906983595,33.2751480647429
Ethiopia,ETH,23044.6359305387,858.11260547943,483.887325128898,9.45415573147079,25794.4294889001,830.180346348203,25.8556230089888,0.377826568702061,25336.3977867802,821.104017185434
China,CHN,257140.191287477,1376.55307103459,57288.8125507236,149.362587085342,34019.7218380021,93.8847460696238,30590.045560695,75.2742660274018,7320.9548479735,19.7964250116838
Philippines,PHL,29887.3751401696,160.48934716668,3164.02738451887,9.81540758130421,11356.4664970137,34.8230527159038,1538.26854177679,3.90591876418842,9730.70765427166,28.913563898788
Uganda,UGA,15024.4218894071,545.961716758311,0,0,8842.50722969029,250.860300230837,0,0,8842.50722969029,250.860300230837
DRC,COD,23428.5501530833,840.517971502351,0,0,16233.4359781682,487.556967506431,0,0,16233.4359781682,487.556967506431
Pakistan,PAK,49162.9151821797,988.508693922422,7070.40674165309,94.3630982024868,25278.5509337732,354.038059784644,2260.70553198843,28.1613312431974,20468.8497241085,287.836292825355
Angola,AGO,6780.22654184403,262.384687466005,432.927558722058,9.93343535559205,8689.13813649613,267.146596895179,116.238957487842,2.87020303583182,8372.44953526191,260.083364575418
Madagascar,MDG,6934.77998449451,135.476106814161,24.8249589341246,0.21350542219136,5095.19082857238,57.0385960551983,13.9876324419603,0.117604244962793,5084.35350208021,56.9426948779698
Ukraine,UKR,6089.60889236487,49.9346834576634,1132.22815054611,5.84314780477837,124.744229760782,0.219595041185174,1106.7870333947,5.81018967472788,99.3031126093743,0.186636911134683
Malawi,MWI,7003.19450762317,264.053246397734,312.892455303022,5.69366992360479,2715.13079020973,68.9328117469509,6.40396241418365,0.112748563918271,2408.6422973209,63.3518903872644
Somalia,SOM,2930.52354572086,109.687345106552,0,0,4701.9584369346,119.163679686984,0,0,4701.9584369346,119.163679686984
Global,Global,823681.944320042,9598.31402516029,108244.827418202,404.269671774775,248543.727646366,4072.95622364036,54555.5509545462,178.254445459766,194854.45118271,3846.94099732535
