country_name,country,mcv1_VS_nomcv,mcv1-sia_VS_nomcv,mcv1-mcv2_VS_nomcv,mcv1-mcv2-sia_VS_nomcv,mcv1-sia_VS_mcv1,mcv1-mcv2_VS_mcv1
India,IND,2223.28546182033,2345.18118108029,2307.34198652273,2393.1567975719,121.895719259958,84.0565247024016
Indonesia,IDN,308.189605034158,358.161339378161,338.534902320673,371.810050385416,49.9717343440033,30.345297286515
China,CHN,1376.55307103459,1470.43781710422,1525.91565811993,1545.71208313162,93.8847460696238,149.362587085342
Philippines,PHL,160.48934716668,195.312399882584,170.304754747985,199.218318646773,34.8230527159038,9.81540758130421
Pakistan,PAK,988.508693922422,1342.54675370707,1082.87179212491,1370.70808495026,354.038059784644,94.3630982024868
Angola,AGO,262.384687466005,529.531284361184,272.318122821597,532.401487397015,267.146596895179,9.93343535559205
Ukraine,UKR,49.9346834576634,50.1542784988486,55.7778312624418,55.9644681735765,0.219595041185174,5.84314780477837
Malawi,MWI,264.053246397734,332.986058144685,269.746916321339,333.098806708603,68.9328117469509,5.69366992360479
Nigeria,NGA,1475.1594831999,2812.40350115516,1480.34832587899,2812.40353099313,1337.24401795526,5.18884267908707
Ethiopia,ETH,858.11260547943,1688.29295182763,867.566761210901,1688.67077839634,830.180346348203,9.45415573147079
Madagascar,MDG,135.476106814161,192.514702869359,135.689612236352,192.632307114322,57.0385960551983,0.21350542219136
Uganda,UGA,545.961716758311,796.822016989148,545.961716758311,796.822016989148,250.860300230837,0
DRC,COD,840.517971502351,1328.07493900878,840.517971502351,1328.07493900878,487.556967506431,0
Somalia,SOM,109.687345106552,228.851024793536,109.687345106552,228.851024793536,119.163679686984,0
Global,Global,9598.31402516029,13671.2702488006,10002.5836969351,13849.5246942604,4072.95622364036,404.269671774775
