vaccine,country_code,country,year,coverage
MCV1,BMA,bungoma,2026,0
MCV1,BMA,bungoma,2028,0
MCV1,BMA,bungoma,2024,0
MCV1,BMA,bungoma,2017,0
MCV1,BMA,bungoma,2018,0
MCV1,BMA,bungoma,2013,0
MCV1,BSA,busia,2018,0
MCV1,BSA,busia,2019,0
MCV1,BSA,busia,2029,0
MCV1,BSA,busia,2017,0
MCV1,BSA,busia,2026,0
MCV1,BSA,busia,2024,0
MCV1,BSA,busia,2023,0
MCV1,BSA,busia,2025,0
MCV1,BSA,busia,2022,0
MCV1,BSA,busia,2028,0
MCV1,BSA,busia,2015,0
MCV1,BSA,busia,2027,0
MCV1,BSA,busia,2016,0
MCV1,BSA,busia,2030,0
MCV1,BSA,busia,2021,0
MCV1,BSA,busia,2020,0
MCV1,BSA,busia,2014,0
MCV1,BSA,busia,2013,0
MCV1,ELM,elgeyo-marakwet,2015,0
MCV1,ELM,elgeyo-marakwet,2029,0
MCV1,ELM,elgeyo-marakwet,2025,0
MCV1,ELM,elgeyo-marakwet,2013,0
MCV1,ELM,elgeyo-marakwet,2027,0
MCV1,ELM,elgeyo-marakwet,2014,0
MCV1,ELM,elgeyo-marakwet,2026,0
MCV1,ELM,elgeyo-marakwet,2016,0
MCV1,ELM,elgeyo-marakwet,2021,0
MCV1,ELM,elgeyo-marakwet,2024,0
MCV1,ELM,elgeyo-marakwet,2028,0
MCV1,ELM,elgeyo-marakwet,2030,0
MCV1,ELM,elgeyo-marakwet,2020,0
MCV1,ELM,elgeyo-marakwet,2022,0
MCV1,ELM,elgeyo-marakwet,2023,0
MCV1,ELM,elgeyo-marakwet,2017,0
MCV1,ELM,elgeyo-marakwet,2018,0
MCV1,ELM,elgeyo-marakwet,2019,0
MCV1,MBU,embu,2029,0
MCV1,MBU,embu,2016,0
MCV1,MBU,embu,2028,0
MCV1,MBU,embu,2025,0
MCV1,MBU,embu,2024,0
MCV1,MBU,embu,2017,0
MCV1,MBU,embu,2013,0
MCV1,MBU,embu,2014,0
MCV1,MBU,embu,2027,0
MCV1,MBU,embu,2026,0
MCV1,MBU,embu,2018,0
MCV1,MBU,embu,2030,0
MCV1,MBU,embu,2015,0
MCV1,MBU,embu,2020,0
